Code,DNL
1.364000000000000000e+03,1.003367855398143774e+03
2.729000000000000000e+03,1.003367855398143774e+03
4.094000000000000000e+03,1.003367855398143774e+03
5.459000000000000000e+03,1.003367855398143774e+03
6.824000000000000000e+03,1.003367855398143774e+03
